"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2023","23,125","23,200","23,225","22,950","3.89M","-0.11%"
"06/19/2023","23,150","22,950","23,150","22,725","4.85M","1.09%"
"06/16/2023","22,900","23,325","23,550","22,900","15.06M","-1.08%"
"06/15/2023","23,150","23,150","23,225","22,925","5.02M","0.76%"
"06/14/2023","22,975","23,100","23,225","22,975","4.61M","0.00%"
"06/13/2023","22,975","23,600","23,600","22,925","6.05M","-2.34%"
"06/12/2023","23,525","23,100","23,525","23,075","5.62M","1.95%"
"06/09/2023","23,075","23,700","23,775","22,825","6.89M","-1.07%"
"06/08/2023","23,325","23,150","23,325","23,000","4.43M","2.08%"
"06/07/2023","22,850","23,050","23,125","22,775","4.81M","-1.51%"
"06/06/2023","23,200","23,225","23,350","22,875","6.33M","1.53%"
"06/05/2023","22,850","22,525","23,475","22,525","10.09M","2.81%"
"05/31/2023","22,225","22,325","22,800","22,200","34.05M","-1.22%"
"05/30/2023","22,500","22,800","23,000","22,500","7.38M","-1.64%"
"05/29/2023","22,875","23,100","23,400","22,625","5.67M","-0.87%"
"05/26/2023","23,075","23,475","23,525","23,000","6.01M","-1.81%"
"05/25/2023","23,500","24,500","24,500","23,500","7.93M","-4.47%"
"05/24/2023","24,600","24,500","24,675","24,300","3.96M","0.41%"
"05/23/2023","24,500","24,050","24,800","24,050","6.78M","2.62%"
"05/22/2023","23,875","23,525","24,275","23,525","7.11M","2.47%"
"05/19/2023","23,300","24,025","24,525","23,300","13.07M","-3.02%"
"05/17/2023","24,025","24,425","24,700","24,025","6.45M","-1.74%"
"05/16/2023","24,450","24,500","24,675","24,450","4.42M","-0.20%"
"05/15/2023","24,500","24,800","25,000","24,450","6.01M","-1.21%"
